name,lat,lon,timeBound,budget,importance,quality,area,profit,length,time,status
jog,58.4799,16.2368,5,50000,0.5,-1,-1,-1,-1,306,2
ils,58.4799,16.2368,5,50000,0.5,-1,-1,-1,-1,306,2
sel,58.4799,16.2368,5,50000,1,0,0,370.604,49907.2,4,1
ilp,58.4799,16.2368,5,50000,1,-1,-1,-1,-1,7642,3
jog,58.4799,16.2368,5,50000,1,-1,-1,-1,-1,273,2
ils,58.4799,16.2368,5,50000,1,-1,-1,-1,-1,273,2
sel,58.4799,16.2368,5,100000,0,0.00370604,0,370.604,99927.2,9,1
ilp,58.4799,16.2368,5,100000,0,-1,-1,-1,-1,9811,3
jog,58.4799,16.2368,5,100000,0,-1,-1,-1,-1,807,2
ils,58.4799,16.2368,5,100000,0,-1,-1,-1,-1,807,2
sel,58.4799,16.2368,5,100000,0.5,0.00185302,0,370.604,99927.2,17,1
ilp,58.4799,16.2368,5,100000,0.5,-1,-1,-1,-1,9935,3
jog,58.4799,16.2368,5,100000,0.5,-1,-1,-1,-1,832,2
ils,58.4799,16.2368,5,100000,0.5,-1,-1,-1,-1,832,2
sel,58.4799,16.2368,5,100000,1,0,0,370.604,99927.2,17,1
ilp,58.4799,16.2368,5,100000,1,-1,-1,-1,-1,9700,3
jog,58.4799,16.2368,5,100000,1,-1,-1,-1,-1,783,2
ils,58.4799,16.2368,5,100000,1,-1,-1,-1,-1,783,2
sel,58.5658,16.3701,5,1000,0,0.392551,0,392.551,971.104,0,1
ilp,58.5658,16.3701,5,1000,0,-1,-1,-1,-1,9784,3
jog,58.5658,16.3701,5,1000,0,-1,-1,-1,-1,0,2
ils,58.5658,16.3701,5,1000,0,-1,-1,-1,-1,0,2
sel,58.5658,16.3701,5,1000,0.5,0.196276,0,392.551,971.104,0,1
ilp,58.5658,16.3701,5,1000,0.5,-1,-1,-1,-1,9771,3
jog,58.5658,16.3701,5,1000,0.5,-1,-1,-1,-1,0,2
ils,58.5658,16.3701,5,1000,0.5,-1,-1,-1,-1,0,2
sel,58.5658,16.3701,5,1000,1,0,0,392.551,971.104,0,1
ilp,58.5658,16.3701,5,1000,1,-1,-1,-1,-1,9891,3
jog,58.5658,16.3701,5,1000,1,-1,-1,-1,-1,0,2
ils,58.5658,16.3701,5,1000,1,-1,-1,-1,-1,0,2
sel,58.5658,16.3701,5,2500,0,0.11982,0,299.55,2396.4,0,1
ilp,58.5658,16.3701,5,2500,0,-1,-1,-1,-1,9815,3
jog,58.5658,16.3701,5,2500,0,0.255411,4.65661e-10,638.529,4511.24,0,1
ils,58.5658,16.3701,5,2500,0,0.255411,4.65661e-10,638.529,4511.24,5000,1
sel,58.5658,16.3701,5,2500,0.5,0.05991,0,299.55,2396.4,0,1
ilp,58.5658,16.3701,5,2500,0.5,-1,-1,-1,-1,7369,3
jog,58.5658,16.3701,5,2500,0.5,0.127706,4.65661e-10,638.529,4511.24,0,1
ils,58.5658,16.3701,5,2500,0.5,0.127706,4.65661e-10,638.529,4511.24,5000,1
sel,58.5658,16.3701,5,2500,1,0,0,299.55,2396.4,0,1
ilp,58.5658,16.3701,5,2500,1,-1,-1,-1,-1,7290,3
jog,58.5658,16.3701,5,2500,1,2.37159e-17,4.65661e-10,638.529,4511.24,0,1
ils,58.5658,16.3701,5,2500,1,2.37159e-17,4.65661e-10,638.529,4511.24,5000,1
sel,58.5658,16.3701,5,5000,0,0.0785102,0,392.551,4978.8,0,1
ilp,58.5658,16.3701,5,5000,0,-1,-1,-1,-1,7276,3
jog,58.5658,16.3701,5,5000,0,0.567615,4.65661e-10,2838.08,7713.15,0,1
ils,58.5658,16.3701,5,5000,0,0.567615,4.65661e-10,2838.08,7713.15,5000,1
sel,58.5658,16.3701,5,5000,0.5,0.0392551,0,392.551,4978.8,0,1
ilp,58.5658,16.3701,5,5000,0.5,-1,-1,-1,-1,7288,3
jog,58.5658,16.3701,5,5000,0.5,0.283808,4.65661e-10,2838.08,7713.15,0,1
ils,58.5658,16.3701,5,5000,0.5,0.283808,4.65661e-10,2838.08,7713.15,5000,1
sel,58.5658,16.3701,5,5000,1,0,0,392.551,4978.8,0,1
ilp,58.5658,16.3701,5,5000,1,-1,-1,-1,-1,7264,3
jog,58.5658,16.3701,5,5000,1,5.92898e-18,4.65661e-10,2181.57,9062.57,0,1
ils,58.5658,16.3701,5,5000,1,5.92898e-18,4.65661e-10,2181.57,9062.57,5000,1
sel,58.5658,16.3701,5,10000,0,0.0392551,0,392.551,9957.6,0,1
ilp,58.5658,16.3701,5,10000,0,-1,-1,-1,-1,7294,3
jog,58.5658,16.3701,5,10000,0,0.336374,-2.04032e+06,3363.74,12369.6,0,1
ils,58.5658,16.3701,5,10000,0,0.336374,-2.04032e+06,3363.74,12369.6,5000,1
sel,58.5658,16.3701,5,10000,0.5,0.0196276,0,392.551,9957.6,0,1
ilp,58.5658,16.3701,5,10000,0.5,-1,-1,-1,-1,7648,3
jog,58.5658,16.3701,5,10000,0.5,0.16494,-2.04032e+06,3363.74,12369.6,0,1
ils,58.5658,16.3701,5,10000,0.5,0.16494,-2.04032e+06,3363.74,12369.6,5000,1
sel,58.5658,16.3701,5,10000,1,0,0,392.551,9957.6,0,1
ilp,58.5658,16.3701,5,10000,1,-1,-1,-1,-1,7545,3
jog,58.5658,16.3701,5,10000,1,-0.00661445,-2.07799e+06,3138.84,10461.3,0,1
ils,58.5658,16.3701,5,10000,1,-0.00642037,-2.01702e+06,1743.36,10366,5000,1
sel,58.5658,16.3701,5,25000,0,0.015702,0,392.551,24935.1,0,1
ilp,58.5658,16.3701,5,25000,0,-1,-1,-1,-1,8074,3
